Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Art & Sculpture,34,14935,-594,-1609,12732
Basket,13,3744,-316.8,0,3427.2
Basket,12,3825,-201.6,-288,3335.4
Basket,17,3035,-63.25,0,2971.75
Art & Sculpture,47,2696.8,-44.16,0,2652.64
Basket,17,2695,-52.5,-110,2532.5
Basket,20,2310,-66,-110,2134
Christmas,90,2160,-45.59,0,2114.41
Art & Sculpture,10,2250,-180,0,2070
Basket,11,1925,-17.5,0,1907.5
Basket,30,1907,-41.3,0,1865.7
Home Decor,19,1748,-46.85,0,1701.15
Basket,15,1725,-92,0,1633
Art & Sculpture,2,1625,-5,0,1620
Recycled Art,37,1554,-29.4,0,1524.6
Jewelry,33,1584,-67.17,0,1516.83
Basket,20,1560,-47.8,0,1512.2
Jewelry,32,1536,-76.8,0,1459.2
Home Decor,17,1496,-44,0,1452
Basket,5,1467,-57.6,0,1409.4
Art & Sculpture,9,1466,-75.89,0,1390.11
Art & Sculpture,11,1375,-12.5,0,1362.5
Art & Sculpture,58,1392,-36,0,1356
Christmas,58,1392,-45.6,0,1346.4
Jewelry,96,1400,-42,-56,1302
Art & Sculpture,3,1660,0,-365,1295
Basket,15,1260,0,0,1260
Basket,9,1315,-57.5,0,1257.5
Art & Sculpture,30,1260,-46.2,0,1213.8
Skin Care,32,1216,-26.6,0,1189.4
Home Decor,18,1224,-40.8,0,1183.2
Basket,7,1225,-70,0,1155
Art & Sculpture,7,1155,-47.51,0,1107.49
Home Decor,5,1125,-22.5,0,1102.5
Basket,4,1152,-57.6,0,1094.4
Basket,14,1158,-67.16,0,1090.84
Basket,10,1100,-11,0,1089
Kitchen,69,1104,-25.6,0,1078.4
Basket,10,1100,-26.13,0,1073.87
Art & Sculpture,15,1110,-46.79,0,1063.21
Art & Sculpture,18,1352,-31.99,-258,1062.01
Basket,11,1056,-7.57,0,1048.43
Home Decor,12,1120,-72,0,1048
Basket,6,1050,-17.5,0,1032.5
Basket,4,1030,0,0,1030
Basket,13,1194,-8.8,-156,1029.2
Art & Sculpture,15,1110,-81.38,0,1028.62
Art & Sculpture,59,1062,-33.6,0,1028.4
Basket,6,1225,-35,-175,1015
Basket,6,990,0,0,990
Basket,6,1050,-78.75,0,971.25
Basket,9,1100,-43.99,-99.01,957
Home Decor,11,968,-17.6,0,950.4
Basket,9,990,-43.99,0,946.01
Basket,7,952,-13.6,0,938.4
Art & Sculpture,25,950,-17.6,0,932.4
Basket,5,925,0,0,925
Art & Sculpture,2,1150,-230,0,920
Basket,3,1179,0,-288,891
Christmas,11,924,-33.6,0,890.4
Art & Sculpture,4,960,-72,0,888
Kitchen,24,906,-18.99,0,887.01
Basket,3,945,-63,0,882
Home Decor,7,879,0,0,879
Art & Sculpture,10,975,-17.59,-79.21,878.2
Basket,11,898,-33.2,0,864.8
Basket,7,876.5,-12.65,0,863.85
Basket,5,875,-17.5,0,857.5
Art & Sculpture,4,900,-45,0,855
Home Decor,9,925,-73.5,0,851.5
Art & Sculpture,11,858,-23.6,0,834.4
Jewelry,18,912,-45.6,-48,818.4
Basket,7,812,-11.6,0,800.4
Basket,7,1035,-23,-230,782
Art & Sculpture,19,798,-16.79,0,781.21
Basket,16,804,-30.8,0,773.2
Basket,7,770,-3.48,0,766.52
Basket,7,775,-22.5,0,752.5
Basket,7,770,-33,0,737
Jewelry,16,768,-31.2,0,736.8
Basket,9,736,0,0,736
Jewelry,16,768,-33.6,0,734.4
Basket,4,740,-18.5,0,721.5
Jewelry,15,720,-9.6,0,710.4
Basket,4,700,0,0,700
Basket,6,696,-11.6,0,684.4
Christmas,18,798,-7.6,-114,676.4
Basket,5,725,-58,0,667
Basket,4,700,-35,0,665
Jewelry,25,700,-35.8,0,664.2
Jewelry,24,672,-28.01,0,643.99
Art & Sculpture,9,700,-57,0,643
Art & Sculpture,2,645,-4.15,0,640.85
Home Decor,5,631,0,0,631
Art & Sculpture,18,648,-21.6,0,626.4
Art & Sculpture,5,638,-12.4,0,625.6
Art & Sculpture,5,625,0,0,625
Art & Sculpture,5,636,-12.4,0,623.6
Basket,5,625,-12.5,0,612.5
